Company Name,Ticker,Fiscal Year,Revenue Group (Reportable Segment),Revenue Line,Line Item description (company language),Revenue ($m)
Apple Inc.,AAPL,2025,Product/Service disclosure,iPhone,"iPhone revenue includes net sales from Apple's iPhone products, with increases in 2025 primarily due to higher sales of Pro models. This revenue line reflects the sales of iPhone devices as reported in the company's disaggregated net sales tables.",209586.0
Apple Inc.,AAPL,2025,Product/Service disclosure,Services,"Services net sales include amortization of the deferred value of services bundled in the sales price of certain products, and are driven by revenue from sources such as advertising, the App Store, and cloud services.",109158.0
Apple Inc.,AAPL,2025,Product/Service disclosure,"Wearables, Home and Accessories","Wearables, Home and Accessories net sales include revenue from Apple's wearable devices, home products, and related accessories. Net sales in this category decreased during 2025 compared to 2024 primarily due to lower net sales of Accessories and Wearables.",35686.0
Apple Inc.,AAPL,2025,Product/Service disclosure,Mac,"The Mac revenue line includes net sales from the Company's line of Mac computers, such as MacBook Pro, Mac mini, iMac, MacBook Air, and Mac Studio, as announced during the fiscal year.",33708.0
Apple Inc.,AAPL,2025,Product/Service disclosure,iPad,"The iPad revenue line includes net sales from various iPad models, with increases in 2025 primarily driven by higher net sales of iPad Air, iPad mini, and iPad, partially offset by lower net sales of iPad Pro.",28023.0
MICROSOFT CORP,MSFT,2025,Intelligent Cloud,Server products and cloud services,"Server products and cloud services revenue includes sales from Azure and other cloud services, as well as server products, and is part of the Intelligent Cloud segment. This revenue line is driven by demand for Microsoft's portfolio of cloud and server offerings.",98435.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,Microsoft 365 Commercial products and cloud services,"Microsoft 365 Commercial products and cloud services revenue includes sales of Microsoft 365 Commercial cloud offerings and related products, driven by seat growth in small and medium businesses, frontline worker offerings, and increased revenue per user, as well as on-premises components and Office transactional sales.",87767.0
MICROSOFT CORP,MSFT,2025,More Personal Computing,Gaming,"Gaming revenue within the More Personal Computing segment includes revenue from Xbox content and services, comprising first- and third-party content (including games and in-game content), Xbox Game Pass and other subscriptions, and Xbox Cloud Gaming.",23455.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,LinkedIn,"LinkedIn connects the world’s professionals to make them more productive and successful and transforms the way companies hire, market, sell, and learn. LinkedIn revenue includes offerings that support professional networking, hiring, marketing, sales, and learning solutions.",17812.0
MICROSOFT CORP,MSFT,2025,More Personal Computing,Windows and Devices,"Windows and Devices revenue includes sales of Windows Pro and non-Pro licenses sold through the OEM channel and sales of first-party Devices, including Surface and PC accessories.",17314.0
MICROSOFT CORP,MSFT,2025,More Personal Computing,Search and news advertising,"Search and news advertising revenue consists of sales from online advertising, including advertising on Microsoft's search and news platforms, and is part of the More Personal Computing segment.",13878.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,Dynamics products and cloud services,"Dynamics products and cloud services revenue includes revenue from Microsoft's Dynamics business solutions, with growth primarily driven by Dynamics 365.",7827.0
MICROSOFT CORP,MSFT,2025,Intelligent Cloud,Enterprise and partner services,"Enterprise and partner services revenue includes services provided to enterprise customers and partners, as classified separately from product and cloud service revenues in Microsoft's financial reporting.",7760.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,Microsoft 365 Consumer products and cloud services,"Microsoft 365 Consumer products and cloud services revenue includes revenue from Microsoft 365 Consumer subscriptions, Office Consumer products, and is influenced by demand for communication and storage services such as Outlook.com and OneDrive, as well as the shift from Office licensed on-premises to cloud-based subscriptions.",7404.0
MICROSOFT CORP,MSFT,2025,Other,Other,"The 'Other' revenue line includes revenue not classified under the company's significant product and service offerings, representing a small portion of total revenue.",72.0
Alphabet Inc.,GOOGL,2024,Google Services,Google Search & other,"Google Search & other includes revenues generated on Google search properties, including revenues from traffic generated by search distribution partners who use Google.",198084.0
Alphabet Inc.,GOOGL,2024,Google Cloud,Google Cloud,"Google Cloud revenues primarily include revenues from Google Cloud Platform, largely from infrastructure services.",43229.0
