Company,Ticker,Segment,Segment description,Key products / services (keywords),Primary source,Link
AMAZON COM INC,AMZN,AWS,"AWS (Amazon Web Services) is Amazon's cloud computing segment, providing a broad set of infrastructure services such as computing, storage, database, and other cloud-based offerings to businesses and organizations. This segment generates revenue from customers using its cloud services for a variety of applications and workloads. The segment is reported as 'AWS' in the company's net sales breakdown.",AWS,Net sales by groups of similar products and services: AWS,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Advertising services,"The Advertising services segment includes revenue from selling advertising to publishers, authors, and others through programs such as sponsored ads, display, and video advertising. This segment enables sellers and brands to promote their products and content across Amazon's platforms. The segment is reported as 'Advertising services' in the company's net sales breakdown.",Advertising services,Net sales by groups of similar products and services: Advertising services,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Online stores,The Online stores segment consists of product sales and digital media content sold through Amazon's online retail websites. This includes a wide range of consumer goods and digital offerings directly to customers. The segment is reported as 'Online stores' in the company's net sales breakdown.,Online stores,Net sales by groups of similar products and services: Online stores,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Physical stores,"The Physical stores segment includes product sales from Amazon's physical store locations. This segment covers sales from brick-and-mortar stores operated by Amazon, offering a selection of goods to customers in person. The segment is reported as 'Physical stores' in the company's net sales breakdown.",Physical stores,Net sales by groups of similar products and services: Physical stores,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Subscription services,"The Subscription services segment includes annual and monthly fees associated with Amazon Prime memberships, as well as digital video, audiobook, digital music, e-book, and other non-AWS subscription services. This segment generates recurring revenue from customers subscribing to Amazon's various digital and membership offerings. The segment is reported as 'Subscription services' in the company's net sales breakdown.",Subscription services,Net sales by groups of similar products and services: Subscription services,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Third-party seller services,"The Third-party seller services segment consists of commissions and related fulfillment and shipping fees, as well as other third-party seller services. This segment enables independent sellers to offer products for sale on Amazon's online stores, with Amazon providing logistics and other support. The segment is reported as 'Third-party seller services' in the company's net sales breakdown.",Third-party seller services,Net sales by groups of similar products and services: Third-party seller services,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
"Meta Platforms, Inc.",META,Family of Apps,"The Family of Apps segment primarily generates revenue from selling advertising placements on Meta's suite of applications. This segment enables marketers to reach people across a range of marketing objectives, such as generating leads or driving awareness, through ads on Meta's platforms. The segment also includes other revenue generated from these applications.",Advertising; Other revenue; Family of Apps,text_snippet,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",META,Family of Apps (FoA),"Family of Apps (FoA) encompasses Meta's core social and communication platforms, with revenue mainly derived from advertising placements sold to marketers. These ads help businesses connect with users for various objectives, including lead generation and brand awareness, and the segment also includes other related revenue streams.",Advertising; Other revenue; Family of Apps,text_snippet,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",META,Reality Labs,"The Reality Labs segment focuses on developing technologies and products that help people learn, get things done, create content, and connect with others. This segment includes revenue from products and services related to augmented and virtual reality, as well as other associated revenue streams.",Reality Labs,text_snippet,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
NVIDIA CORP,NVDA,Automotive,"The Automotive segment leverages NVIDIA's GPU-powered AI solutions to enable advanced computing capabilities in self-driving cars and automotive applications. This segment focuses on providing hardware, systems, software, and algorithms that support AI model training and inference, deep learning, and perception for autonomous vehicles. NVIDIA's unified architecture and platform strategy allow it to address the unique computing requirements of the automotive industry.",Automotive,text_snippet,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,Compute & Networking,"The Compute & Networking segment includes NVIDIA's data-center-scale offerings, comprised of compute and networking solutions that support AI model training and inference, data analytics, scientific computing, and 3D graphics. These solutions are designed to scale across thousands of GPU-accelerated servers and are essential for the development and deployment of modern AI applications across various industries. The segment benefits from NVIDIA's platform strategy, which integrates hardware, systems, software, and services.",Compute; Networking,text_snippet,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,Graphics,"The Graphics segment is rooted in NVIDIA's invention of the GPU, which revolutionized computer graphics and enabled the growth of the PC gaming market. This segment addresses the needs of gaming, professional visualization, and 3D graphics, leveraging the parallel processing capabilities of GPUs for both entertainment and professional applications. NVIDIA's unified architecture supports a broad range of graphics-intensive workloads.",Gaming; Professional Visualization,text_snippet,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,OEM and Other,"The OEM and Other segment includes revenue from original equipment manufacturers and other sources not classified under NVIDIA's primary business segments. This segment captures sales of products and services that do not fit within the Compute & Networking, Graphics, or Automotive segments.",OEM and Other,revenue_items_from_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
Apple Inc.,AAPL,Mac,"The Mac segment consists of Apple's line of personal computers. According to the provided text, net sales of Mac increased during 2025 compared to 2024, contributing to overall company performance. This segment is specifically referenced in the net sales breakdown by category.",Mac,Apple Inc. | 2025 Form 10-K | 22,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,Services,"The Services segment includes Apple's revenue from various service offerings. The text notes that Services experienced higher net sales in 2025 compared to 2024, and is listed as a distinct revenue category in the company's net sales table.",Services (1),Apple Inc. | 2025 Form 10-K | 22,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,"Wearables, Home and Accessories","This segment covers Apple's range of wearable devices, home products, and related accessories. The text identifies 'Wearables, Home and Accessories' as a separate revenue category, with net sales figures provided for multiple years.","Wearables, Home and Accessories",Apple Inc. | 2025 Form 10-K | 22,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,iPad,"The iPad segment represents Apple's tablet product line. The text highlights iPad as a key contributor to net sales, with specific mention of increased sales in certain regions and detailed revenue figures in the net sales table.",iPad,Apple Inc. | 2025 Form 10-K | 22,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,iPhone,"The iPhone segment comprises Apple's smartphone products. The provided text indicates that iPhone is a major driver of net sales growth across multiple regions, and it is prominently featured in the company's net sales breakdown.",iPhone,Apple Inc. | 2025 Form 10-K | 22,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
MICROSOFT CORP,MSFT,Intelligent Cloud,"The Intelligent Cloud segment consists of Microsoft's public, private, and hybrid server products and cloud services that power modern businesses and developers. This includes Azure and other cloud services, server products such as SQL Server and Windows Server, developer tools like Visual Studio and GitHub, and enterprise and partner services including Enterprise Support Services and Nuance professional services. The segment focuses on providing infrastructure, AI, security, and developer solutions for organizations of all sizes.",Azure; Azure AI; Azure AI Foundry; GitHub; Nuance Healthcare; SQL Server; Windows Server; Visual Studio; System Center; Client Access Licenses (CALs); Enterprise Support Services; Industry Solutions; Nuance professional services; Microsoft Partner Network; Learning Experience; Server products and cloud services; Enterprise and partner services,10-K segment description and product listing,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,MSFT,More Personal Computing,"The More Personal Computing segment includes products and services that put customers at the center of their technology experience, primarily through Windows and Devices, Gaming, and Search and news advertising. This segment covers Windows OEM licensing, Surface devices, Xbox hardware and content, Xbox Game Pass, and digital advertising platforms such as Bing, Copilot, and Microsoft Edge. The focus is on delivering personal computing experiences, gaming, and digital advertising solutions across devices and platforms.",Windows; Windows OEM; Surface; Copilot+ PCs; PC accessories; Xbox; Xbox Game Pass; Xbox Cloud Gaming; Bing; Copilot; Microsoft News; Microsoft Edge; Gaming; Windows and Devices; Search and news advertising,10-K segment description and product listing,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,MSFT,Productivity and Business Processes,"The Productivity and Business Processes segment comprises Microsoft's portfolio of productivity, communication, and information services across devices and platforms. This includes Microsoft 365 Commercial and Consumer products and cloud services, LinkedIn's suite of professional solutions, and Dynamics business applications. The segment focuses on empowering organizations and individuals with AI-powered productivity tools, business solutions, and professional networking services.",Microsoft 365 Commercial; Microsoft 365 Commercial cloud; Enterprise Mobility + Security; Power BI; Exchange; SharePoint; Microsoft Teams; Microsoft 365 Security and Compliance; Microsoft 365 Copilot; Windows Commercial on-premises; Office licensed on-premises; Microsoft 365 Consumer; Microsoft 365 Consumer subscriptions; Outlook.com; OneDrive; LinkedIn; Talent Solutions; Marketing Solutions; Premium Subscriptions; Sales Solutions; Dynamics 365; Power Apps; Power Automate; Dynamics products and cloud services; Microsoft 365 Commercial products and cloud services; Microsoft 365 Consumer products and cloud services; LinkedIn,10-K segment description and product listing,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Alphabet Inc.,GOOGL,Google Cloud,"Google Cloud is a reportable segment of Alphabet Inc. that provides enterprise cloud services and solutions. This segment includes infrastructure, platform, and other services for businesses to build, deploy, and operate applications on the cloud. The segment's performance is reported separately from Google Services and Other Bets.",Google Cloud,text_snippet and revenue_items_from_filing,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,GOOGL,Google Services,"Google Services is a core segment of Alphabet Inc. encompassing a broad range of products and services, including search, advertising, and consumer platforms. This segment generates revenue from Google Search & other, YouTube ads, Google Network, and Google subscriptions, platforms, and devices. It represents the majority of Alphabet's business operations.","Google Search & other; YouTube ads; Google Network; Google subscriptions, platforms, and devices",text_snippet and revenue_items_from_filing,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,GOOGL,Other Bets,Other Bets is a segment of Alphabet Inc. that includes a collection of early-stage businesses and experimental projects outside of the company's core Google Services and Google Cloud operations. This segment is reported separately and includes activities that are not part of Alphabet's main internet products and services.,Other Bets,text_snippet and revenue_items_from_filing,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
