Year,Company,Ticker,Dimension,Segment,Item,Income $,Income %,Row type,Primary source,Link
2024,AMAZON COM INC,AMZN,product_service,AWS,AWS,107556000000,16.8594,item,10-K revenue table (t0069),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
2024,AMAZON COM INC,AMZN,product_service,Advertising services,Advertising services (4),56214000000,8.8115,item,10-K revenue table (t0069),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
2024,AMAZON COM INC,AMZN,product_service,Online stores,Online stores (1),247029000000,38.7218,item,10-K revenue table (t0069),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
2024,AMAZON COM INC,AMZN,product_service,Other,Other (6),5425000000,0.8504,item,10-K revenue table (t0069),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
2024,AMAZON COM INC,AMZN,product_service,Physical stores,Physical stores (2),21215000000,3.3254,item,10-K revenue table (t0069),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
2024,AMAZON COM INC,AMZN,product_service,Subscription services,Subscription services (5),44374000000,6.9556,item,10-K revenue table (t0069),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
2024,AMAZON COM INC,AMZN,product_service,Third-party seller services,Third-party seller services (3),156146000000,24.4759,item,10-K revenue table (t0069),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
2024,"Meta Platforms, Inc.",META,revenue_source,Advertising,Advertising,160633000000,98.9394,item,10-K revenue table (t0031),https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
2024,"Meta Platforms, Inc.",META,revenue_source,Other revenue,Other revenue,1722000000,1.0606,item,10-K revenue table (t0031),https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
2024,"Meta Platforms, Inc.",META,segment,Family of Apps,Family of Apps,162355000000,98.6954,item,10-K revenue table (t0031),https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
2024,"Meta Platforms, Inc.",META,segment,Reality Labs,Reality Labs,2146000000,1.3046,item,10-K revenue table (t0031),https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
2025,NVIDIA CORP,NVDA,end_market,Automotive,Automotive,1694000000,1.2981,item,10-K revenue table (t0059),https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
2025,NVIDIA CORP,NVDA,end_market,Data Center,Compute,102196000000,78.3129,item,10-K revenue table (t0059),https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
2025,NVIDIA CORP,NVDA,end_market,Data Center,Networking,12990000000,9.9543,item,10-K revenue table (t0059),https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
2025,NVIDIA CORP,NVDA,end_market,Gaming,Gaming,11350000000,8.6975,item,10-K revenue table (t0059),https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
2025,NVIDIA CORP,NVDA,end_market,OEM and Other,OEM and Other,389000000,0.2981,item,10-K revenue table (t0059),https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
2025,NVIDIA CORP,NVDA,end_market,Professional Visualization,Professional Visualization,1878000000,1.4391,item,10-K revenue table (t0059),https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
