Company Name,Business segment,Business item,Description of Business item,Textual description of the business item- Long form description,Primary source,Link
AMAZON COM INC,AWS,AWS,"AWS net sales for the years 2022, 2023, and 2024.","AWS net sales were $80,096 million in 2022, $90,757 million in 2023, and are projected to be $107,556 million in 2024. These figures are part of the net sales by groups of similar products and services with similar economic characteristics.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Advertising services,Advertising services,"Advertising services include programs such as sponsored ads, display, and video advertising.","Advertising services include programs such as sponsored ads, display, and video advertising. Net sales for Advertising services were $37,739 million in 2022, $46,906 million in 2023, and $56,214 million in 2024.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Online stores,Online stores (1),"Net sales by groups of similar products and services, which also have similar economic characteristics, is as follows (in millions): Year Ended December 31, 2022 2023 2024 Net Sales: Online stores (1) $ 220,004 $ 231,872 $ 247,029","Net sales by groups of similar products and services, which also have similar economic characteristics, is as follows (in millions): Year Ended December 31, 2022 2023 2024 Net Sales: Online stores (1) $ 220,004 $ 231,872 $ 247,029. This segment includes annual and monthly fees associated with Amazon Prime memberships, as well as digital video, audiobook, digital music, e-book, and other non-AWS subscription services.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Physical stores,Physical stores (2),"Physical stores net sales for the years 2022, 2023, and 2024.","Physical stores net sales are reported as $18,963 million in 2022, $20,030 million in 2023, and $21,215 million in 2024. These figures are part of the net sales by groups of similar products and services with similar economic characteristics.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Subscription services,Amazon Prime,Includes annual and monthly fees associated with Amazon Prime memberships.,"Includes annual and monthly fees associated with Amazon Prime memberships, as well as digital video, audiobook, digital music, e-book, and other non-AWS subscription services.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Third-party seller services,Third-party seller services (3),"Net sales by groups of similar products and services, which also have similar economic characteristics, is as follows (in millions):","Net sales by groups of similar products and services, which also have similar economic characteristics, is as follows (in millions): Year Ended December 31, 2022 2023 2024 Net Sales: ... Third-party seller services (3) 117,716 140,053 156,146 ... Consolidated $ 513,983 $ 574,785 $ 637,959",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
"Meta Platforms, Inc.",Advertising,Family of Apps (FoA),We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL).,"Currently, we generate substantially all of our revenue from selling advertising placements on our family of apps to marketers, which is reflected in FoA. Ads on our platform enable marketers to reach people across a range of marketing objectives, such as generating leads or driving awareness.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",Family of Apps,Family of Apps,We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL).,"Currently, we generate substantially all of our revenue from selling advertising placements on our family of apps to marketers, which is reflected in FoA. Ads on our platform enable",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",Reality Labs,Reality Labs,We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL).,"We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL). Currently, we generate substantially all of our revenue from selling advertising placements on our family of apps to marketers, which is reflected in FoA.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
NVIDIA CORP,Data Center,Hopper computing platform,"Revenue from Data Center computing grew 162% driven primarily by demand for our Hopper computing platform used for large language models, recommendation engines, and generative AI applications.","Revenue from Data Center computing grew 162% driven primarily by demand for our Hopper computing platform used for large language models, recommendation engines, and generative AI applications. This platform is a key driver of growth in the Data Center segment.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Data Center,Spectrum-X end-to-end ethernet platform,"Revenue from Data Center networking grew 51% driven by Ethernet for AI revenue, which includes Spectrum-X end-to-end ethernet platform.","Revenue from Data Center networking grew 51% driven by Ethernet for AI revenue, which includes Spectrum-X end-to-end ethernet platform. This platform contributes significantly to the networking revenue growth in the Data Center segment.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Gaming,GPU,Our invention of the GPU in 1999 sparked the growth of the PC gaming market and redefined computer graphics.,"Our invention of the GPU in 1999 sparked the growth of the PC gaming market and redefined computer graphics. With our introduction of the CUDA programming model in 2006, we opened the parallel processing capabilities of our GPU to a broad range of compute-intensive applications, paving the way for the emergence of modern AI.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
